epoch,loss,lr,mae,val_loss,val_mae
0,0.6583700180053711,0.0006,0.3807474970817566,0.6344929933547974,0.4103716313838959
1,0.46946245431900024,0.0006,0.32615798711776733,0.5446183085441589,0.3809261918067932
2,0.45870399475097656,0.0006,0.3223589062690735,0.637808084487915,0.46693727374076843
3,0.4558788537979126,0.0006,0.31935229897499084,0.5319279432296753,0.37329766154289246
4,0.4522978961467743,0.0006,0.3179163336753845,0.5407465100288391,0.3871895968914032
5,0.48586806654930115,0.0006,0.3265034258365631,0.5421095490455627,0.3826276361942291
6,0.4460256099700928,0.0003,0.31224682927131653,0.5269256234169006,0.3736458122730255
7,0.44291383028030396,0.0003,0.31276217103004456,0.524993896484375,0.3790613114833832
8,0.44021743535995483,0.0003,0.31209781765937805,0.522304117679596,0.37570920586586
9,0.44053173065185547,0.0003,0.31263551115989685,0.525532066822052,0.3762262165546417
10,0.4423147439956665,0.0003,0.3117966055870056,0.5212258696556091,0.3701688349246979
11,0.438648521900177,0.0003,0.31040796637535095,0.5478576421737671,0.39753565192222595
12,0.4394592046737671,0.0003,0.3105054795742035,0.5203887224197388,0.369526743888855
13,0.4370918273925781,0.0003,0.31177014112472534,0.5160348415374756,0.3692241609096527
14,0.4336733818054199,0.0003,0.3093407154083252,0.5154216289520264,0.37012457847595215
